City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
217,Qeshm,IR,78.69,overcast clouds,26.9581,56.2719,Qeshm Kavan Hotel
227,Ciudad Guayana,VE,83.41,overcast clouds,8.3533,-62.6528,Hotel Las Americas
228,Rocha,UY,72.16,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
229,Hervey Bay,AU,72.14,clear sky,-25.2986,152.8535,Shelly Bay Resort
231,East London,ZA,70.81,overcast clouds,-33.0153,27.9116,Tu Casa
233,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
234,Ipixuna,BR,84.36,scattered clouds,-1.7625,-48.8043,Chalé do Mato
235,Pilar,BR,78.73,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
236,Georgetown,MY,78.73,moderate rain,5.4112,100.3354,Cititel Penang
239,Port Hueneme,US,73.78,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
240,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
244,Kapit,MY,71.8,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
253,Rio Grande,BR,77.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
257,Moengo,SR,79.59,light rain,5.6167,-54.4,Masanga
258,Russell,US,70.75,scattered clouds,32.3502,-85.1999,Macs
264,Faanui,PF,77.22,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
265,Dicabisagan,PH,77.7,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
267,Belmonte,BR,78.26,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
271,Madingou,CG,74.01,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
273,Otane,NZ,70.02,few clouds,-39.8833,176.6333,Ludlow Farmstay
282,Payo,ID,73.42,light rain,-3.7508,103.6372,Mess keban agung
284,Chuy,UY,70.45,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
285,Bintulu,MY,75.61,thunderstorm,3.1667,113.0333,900 Boutique INN
287,Ibipeba,BR,81.34,moderate rain,-11.6408,-42.0111,Quitanda santos
288,Bubaque,GW,82.99,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
290,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
297,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
301,Sao Pedro Do Sul,BR,83.05,moderate rain,-29.6206,-54.1789,Sítio Hotel e Eventos
306,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
