City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
455,Karratha,AU,-20.7377,116.8463,74.8,21,0,10.13,clear sky
456,Tokmak,UA,47.2514,35.7058,44.08,86,5,8.68,clear sky
457,Lompoc,US,34.6391,-120.4579,71.02,52,0,16.11,clear sky
458,Pangnirtung,CA,66.1451,-65.7125,1.4,66,20,5.75,few clouds
459,Nome,US,64.5011,-165.4064,21.27,79,0,3.44,clear sky
460,Mahibadhoo,MV,3.7833,72.9667,80.35,79,96,16.24,overcast clouds
461,Verkhnyaya Inta,RU,65.9811,60.3094,12.69,73,100,16.89,overcast clouds
462,Portree,GB,57.4129,-6.1942,53.53,90,100,11.52,overcast clouds
463,Port Moresby,PG,-9.4431,147.1797,78.22,89,40,9.22,scattered clouds
464,Airai,TL,-8.9266,125.4092,62.11,92,78,1.01,broken clouds
465,Cherskiy,RU,68.75,161.3,-8.88,96,100,8.99,overcast clouds
466,Sangar,RU,63.9242,127.4739,0.3,92,100,21.41,light snow
467,Tire,TR,38.0888,27.7351,57.33,46,5,1.99,clear sky
468,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,74.48,73,100,10.63,light rain
469,Sobolevo,RU,54.4299,31.8996,49.89,86,80,15.41,broken clouds
470,Oranjemund,NA,-28.55,16.4333,60.33,89,0,3.76,clear sky
471,Hun,LY,29.1268,15.9477,63.57,50,0,3.69,clear sky
472,Charqueada,BR,-22.5097,-47.7781,84.24,44,50,7.23,scattered clouds
473,Winslow,US,35.0242,-110.6974,48.38,31,0,6.91,clear sky
474,Esil,KZ,51.9556,66.4042,33.62,92,100,23.85,light snow
475,Lafia,NG,8.4833,8.5167,78.91,37,11,1.74,few clouds
476,Sibiti,CG,-3.6819,13.3499,69.19,97,99,1.86,light rain
477,Yerbogachen,RU,61.2767,108.0108,-2.04,95,98,4.85,overcast clouds
478,Karasjok,NO,69.4719,25.5112,34.99,97,100,7.7,overcast clouds
479,Porto Tolle,IT,44.9497,12.3245,59.86,61,94,6.11,overcast clouds
480,Saint-Pierre,RE,-21.3393,55.4781,71.28,64,0,5.75,clear sky
481,North Bend,US,43.4065,-124.2243,54.16,82,0,9.22,clear sky
482,Amapa,BR,1.0,-52.0,81.36,69,84,2.17,broken clouds
483,Campos Altos,BR,-19.6961,-46.1714,76.68,53,79,2.59,broken clouds
484,Muncar,ID,-8.4333,114.3333,76.75,89,100,0.69,overcast clouds
485,Biltine,TD,14.5333,20.9167,79.18,23,0,9.75,clear sky
486,Kralendijk,BQ,12.15,-68.2667,84.18,74,40,16.11,scattered clouds
487,Jurado,CO,7.1053,-77.7641,78.82,88,100,6.15,light rain
488,Biak,ID,-0.9131,122.8766,76.23,82,100,3.13,overcast clouds
489,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,87,50,16.84,scattered clouds
490,Dzheyrakh,RU,42.8228,44.6756,22.39,36,96,3.67,overcast clouds
491,Hailar,CN,49.2,119.7,15.01,83,100,7.18,overcast clouds
492,Otradnoye,RU,59.7775,30.8181,50.09,71,28,14.9,scattered clouds
493,Port Blair,IN,11.6667,92.75,79.74,80,52,8.79,broken clouds
494,Kattivakkam,IN,13.2167,80.3167,80.69,86,100,4.76,overcast clouds
495,Puerto Madero,MX,14.7208,-92.4215,88.0,74,20,9.22,few clouds
496,Kijang,KR,35.2442,129.2139,71.33,93,100,16.26,overcast clouds
497,Lexington,US,37.9887,-84.4777,34.34,85,100,4.61,overcast clouds
498,Havelock,US,34.8791,-76.9013,73.38,87,100,10.36,overcast clouds
