City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Bambous Virieux,MU,2022-11-11 06:20:51,-20.3428,57.7575,81.21,65,40,8.05
194,Changji,CN,2022-11-11 06:20:51,44.0167,87.3167,41.79,52,0,6.71
195,La Ronge,CA,2022-11-11 06:20:51,55.1001,-105.2842,5.25,78,75,5.75
196,Isangel,VU,2022-11-11 06:20:52,-19.55,169.2667,82.51,89,40,0.0
197,Lampa,CL,2022-11-11 06:17:05,-33.2833,-70.9,56.64,82,75,6.91
198,Jefferson City,US,2022-11-11 06:20:52,38.5767,-92.1735,51.84,65,100,20.0
199,Kavieng,PG,2022-11-11 06:20:53,-2.5744,150.7967,79.36,88,99,15.82
200,Tromso,NO,2022-11-11 06:20:53,69.6496,18.957,31.37,74,75,3.44
201,Sasolburg,ZA,2022-11-11 06:20:54,-26.8136,27.817,65.89,69,67,14.09
202,Urengoy,RU,2022-11-11 06:20:54,65.9667,78.3667,12.63,95,100,14.16
203,Amnat Charoen,TH,2022-11-11 06:20:54,15.9167,104.75,89.56,50,95,11.01
204,Ashford,GB,2022-11-11 06:20:55,51.1459,0.8728,57.69,93,100,5.99
205,Capitao Poco,BR,2022-11-11 06:20:55,-1.7464,-47.0594,72.37,96,22,4.56
206,Hamilton,US,2022-11-11 06:20:56,39.1834,-84.5333,63.72,65,75,8.05
207,Ancud,CL,2022-11-11 06:20:56,-41.8697,-73.8203,52.36,98,100,4.27
208,Mandalgovi,MN,2022-11-11 06:16:18,45.7625,106.2708,28.62,42,100,10.36
209,Tessalit,ML,2022-11-11 06:20:57,20.1986,1.0114,67.95,22,0,10.87
210,Ilo,PE,2022-11-11 06:20:57,-17.6394,-71.3375,63.77,84,35,6.06
211,Kamenka,RU,2022-11-11 06:20:57,51.3223,42.7678,38.16,86,19,9.51
212,Port Shepstone,ZA,2022-11-11 06:20:58,-30.7414,30.455,70.99,75,100,8.77
213,Pangnirtung,CA,2022-11-11 06:20:58,66.1451,-65.7125,-5.8,93,75,4.38
214,Bonthe,SL,2022-11-11 06:20:58,7.5264,-12.505,76.71,85,37,5.06
215,Kabinda,CD,2022-11-11 06:20:59,-6.1333,24.4833,70.61,86,87,2.01
216,Praia Da Vitoria,PT,2022-11-11 06:20:59,38.7333,-27.0667,55.76,100,20,8.99
217,Georgetown,MY,2022-11-11 06:21:00,5.4112,100.3354,86.95,74,20,10.36
218,Prieska,ZA,2022-11-11 06:21:00,-29.6641,22.7474,77.47,40,74,17.05
219,Deputatskiy,RU,2022-11-11 06:21:01,69.3,139.9,-18.44,98,75,3.67
220,San Borja,BO,2022-11-11 06:21:01,-14.8167,-66.85,72.9,81,76,3.09
221,Airai,TL,2022-11-11 06:21:01,-8.9266,125.4092,71.11,71,100,2.01
222,Nimaparha,IN,2022-11-11 06:21:02,20.0667,86.0167,84.6,42,100,9.51
223,Beecher,US,2022-11-11 06:21:03,43.09,-83.6944,58.75,56,0,6.91
224,Dembi Dolo,ET,2022-11-11 06:16:17,8.5333,34.8,64.06,76,100,2.08
225,Kutum,SD,2022-11-11 06:21:03,14.2,24.6667,64.22,29,23,7.36
226,San Patricio,US,2022-11-11 06:21:04,28.017,-97.5169,78.66,86,23,7.74
227,Indapur,IN,2022-11-11 06:21:04,18.3,73.25,88.27,33,6,10.16
228,Antofagasta,CL,2022-11-11 06:21:04,-23.65,-70.4,60.08,80,35,0.16
229,Coquimbo,CL,2022-11-11 06:21:05,-29.9533,-71.3436,58.73,82,100,2.3
230,Tocopilla,CL,2022-11-11 06:21:06,-22.092,-70.1979,62.69,71,14,3.83
231,Dawlatabad,AF,2022-11-11 06:22:07,36.4141,64.9053,52.27,40,1,4.74
232,Mikumi,TZ,2022-11-11 06:22:07,-7.4041,36.9831,77.85,68,98,3.83
233,Tecoanapa,MX,2022-11-11 06:22:08,16.5167,-98.75,77.7,87,7,4.72
234,Lavrentiya,RU,2022-11-11 06:22:08,65.5833,-171.0,15.57,89,12,10.09
235,Nador,MA,2022-11-11 06:19:18,35.174,-2.9287,68.25,77,75,10.36
236,Sao Filipe,CV,2022-11-11 06:22:09,14.8961,-24.4956,76.5,72,98,5.44
